Country,Year,Life_expectancy_at_birth,Expected_years_of_schooling,Average_of_years_of_schooling,GNI_per_capita_PPP,life_expectancy_index,Education_Index,GNI_Index,HDI_1,HDI_calculated,HDI_3,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,social_support,cpi_score
Brazil,2015,74.994,15.4,7.6,14470.0,0.85,0.72,0.75,0.76,0.77,0.76,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,2.769267082,South America,0.0,38
Botswana,2018,69.28,12.7,9.33,15951.33,0.76,0.68,0.77,0.73,0.73,0.73,3.59,1.017,0.0,0.417,0.557,0.042,0.092,0.0,Africa,1.174,61
Botswana,2017,68.812,12.6,9.3,16680.0,0.75,0.68,0.77,0.72,0.73,0.72,3.488,1.041,0.0,0.538,0.455,0.025,0.1,0.0,Africa,1.145,61
Botswana,2016,68.178,12.6,9.3,16600.0,0.74,0.68,0.77,0.72,0.73,0.71,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,1.46181,Africa,0.0,60
Botswana,2015,67.338,12.6,9.2,15310.0,0.73,0.68,0.76,0.71,0.72,0.71,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,0.377913713,Africa,0.0,63
Bosnia and Herzegovina,2018,77.26,13.79,9.69,12689.68,0.88,0.73,0.73,0.77,0.78,0.77,5.129,0.915,0.0,0.758,0.28,0.216,0.0,0.0,Europe,1.078,38
Bosnia and Herzegovina,2017,77.128,14.2,9.7,13790.0,0.88,0.74,0.74,0.77,0.79,0.77,5.386,0.945,0.0,0.845,0.212,0.263,0.006,0.0,Europe,1.212,38
Bosnia and Herzegovina,2016,76.998,14.2,9.7,13090.0,0.88,0.74,0.74,0.76,0.78,0.77,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,2.06367,Europe,0.0,39
Bosnia and Herzegovina,2015,76.865,14.2,9.0,12100.0,0.87,0.72,0.72,0.75,0.77,0.76,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,0.0,1.892172575,Europe,0.0,38
Bolivia,2018,71.24,14.01,9.02,6849.2,0.79,0.72,0.64,0.7,0.71,0.7,5.752,0.751,0.0,0.508,0.606,0.141,0.054,0.0,South America,1.223,29
Bolivia,2017,70.945,14.0,8.9,8190.0,0.78,0.71,0.67,0.7,0.72,0.69,5.779,0.776,0.0,0.706,0.511,0.137,0.064,0.0,South America,1.209,33
Bolivia,2016,70.626,13.9,8.9,7360.0,0.78,0.71,0.65,0.69,0.71,0.69,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,2.82334,South America,0.0,33
Bolivia,2015,70.277,13.8,8.7,6890.0,0.77,0.7,0.64,0.69,0.7,0.68,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.225560725,0.060477726,2.443279028,South America,0.0,34
Benin,2018,61.47,12.61,3.77,2134.59,0.64,0.53,0.46,0.52,0.54,0.52,4.141,0.378,0.0,0.24,0.44,0.163,0.067,0.0,Africa,0.372,40
Benin,2017,61.174,12.6,3.6,3010.0,0.63,0.52,0.51,0.51,0.55,0.52,4.883,0.393,0.0,0.397,0.349,0.175,0.082,0.0,Africa,0.437,39
Benin,2016,60.885,12.6,3.6,2980.0,0.63,0.52,0.51,0.51,0.55,0.51,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,1.63328,Africa,0.0,36
Benin,2015,60.608,12.6,3.5,2860.0,0.62,0.52,0.51,0.51,0.55,0.51,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,1.885630965,Africa,0.0,37
Belgium,2018,81.47,19.7,11.78,43820.84,0.95,0.98,0.92,0.92,0.95,0.92,6.927,1.324,0.0,0.894,0.583,0.188,0.24,0.0,Europe,1.483,75
Belgium,2017,81.305,19.8,11.8,51320.0,0.94,0.99,0.94,0.92,0.96,0.92,6.923,1.356,0.0,0.986,0.473,0.16,0.21,0.0,Europe,1.504,75
Belgium,2016,81.139,19.8,11.8,49090.0,0.94,0.99,0.94,0.92,0.95,0.92,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,2.41484,Europe,0.0,77
Belgium,2015,80.969,19.8,11.7,46870.0,0.94,0.99,0.93,0.91,0.95,0.91,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131,2.124210358,Europe,0.0,77
Belarus,2018,74.59,15.36,12.31,17038.53,0.84,0.85,0.78,0.82,0.82,0.82,5.483,1.039,0.0,0.7,0.307,0.101,0.154,0.0,Europe,1.498,44
Belarus,2017,74.34,15.5,12.3,17580.0,0.84,0.86,0.78,0.81,0.82,0.81,5.323,1.067,0.0,0.789,0.235,0.094,0.142,0.0,Europe,1.465,44
Belarus,2016,74.031,15.5,12.3,19280.0,0.83,0.86,0.79,0.81,0.83,0.81,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2.1309,Europe,0.0,40
Belarus,2015,73.652,15.5,12.2,19260.0,0.83,0.86,0.79,0.81,0.82,0.81,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,0.156313822,1.723232985,Europe,0.0,32
Bangladesh,2018,72.32,11.2,6.06,4057.25,0.8,0.54,0.56,0.61,0.62,0.61,4.5,0.532,0.0,0.579,0.58,0.153,0.144,0.0,Asia,0.85,26
Bangladesh,2017,72.052,11.4,5.8,4340.0,0.8,0.54,0.57,0.61,0.63,0.61,4.456,0.562,0.0,0.723,0.527,0.166,0.143,0.0,Asia,0.928,28
Bangladesh,2016,71.785,11.4,5.2,4070.0,0.8,0.52,0.56,0.6,0.62,0.6,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,2.51767,Asia,0.0,26
Bangladesh,2015,71.514,11.3,5.2,3790.0,0.79,0.52,0.55,0.59,0.61,0.59,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859,1.978736162,Asia,0.0,25
Bahrain,2018,77.16,15.26,9.41,40399.12,0.88,0.77,0.91,0.84,0.85,0.84,6.105,1.338,0.0,0.698,0.594,0.243,0.123,0.0,Asia,1.366,36
