Country,Year,Life_expectancy_at_birth,Expected_years_of_schooling,Average_of_years_of_schooling,GNI_per_capita_PPP,life_expectancy_index,Education_Index,GNI_Index,HDI_1,HDI_calculated,HDI_3,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,social_support,cpi_score
United Arab Emirates,2016,77.47,13.6,10.8,63670.0,0.88,0.75,0.98,0.86,0.87,0.86,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583,2.24743,Asia,0.0,66
United Arab Emirates,2015,77.285,13.8,10.6,64640.0,0.88,0.75,0.98,0.86,0.87,0.86,6.647999763,1.626343369,1.266410232,0.726798236,0.60834527,0.360941947,0.324489564,1.734703541,Asia,0.0,70
Ukraine,2018,71.95,15.07,11.34,7994.21,0.8,0.82,0.66,0.75,0.76,0.75,4.103,0.793,0.0,0.609,0.163,0.187,0.011,0.0,Europe,1.413,32
Ukraine,2017,71.84,15.0,11.3,8460.0,0.8,0.81,0.67,0.75,0.76,0.75,4.332,0.82,0.0,0.739,0.178,0.187,0.01,0.0,Europe,1.39,30
Ukraine,2016,71.711,15.0,11.3,8210.0,0.8,0.81,0.67,0.75,0.76,0.75,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,1.5714,Europe,0.0,29
Ukraine,2015,71.535,15.0,11.3,7880.0,0.79,0.81,0.66,0.74,0.75,0.74,4.096000195,0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471,0.814382315,Europe,0.0,27
Uganda,2018,62.97,11.24,6.09,1752.21,0.66,0.54,0.43,0.53,0.54,0.53,4.161,0.322,0.0,0.237,0.45,0.259,0.061,0.0,Africa,1.09,26
Uganda,2017,62.516,11.6,6.1,1710.0,0.65,0.56,0.43,0.52,0.54,0.52,4.189,0.332,0.0,0.443,0.356,0.252,0.06,0.0,Africa,1.069,26
Uganda,2016,61.986,11.3,5.7,1690.0,0.65,0.54,0.43,0.52,0.53,0.51,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,1.42766,Africa,0.0,25
Uganda,2015,61.373,11.2,5.7,1750.0,0.64,0.53,0.43,0.52,0.53,0.51,4.080999851,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.057069719,1.526362658,Africa,0.0,25
Turkmenistan,2018,68.07,10.89,9.78,16407.47,0.74,0.63,0.77,0.71,0.71,0.71,5.636,1.016,0.0,0.517,0.417,0.199,0.037,0.0,Asia,1.533,20
Turkmenistan,2017,67.956,10.8,9.8,13620.0,0.74,0.63,0.74,0.71,0.7,0.71,5.247,1.052,0.0,0.657,0.394,0.244,0.028,0.0,Asia,1.538,19
Turkmenistan,2016,67.835,10.9,9.8,13500.0,0.74,0.64,0.74,0.71,0.7,0.71,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,1.86984,Asia,0.0,22
Turkmenistan,2015,67.704,10.8,9.8,12890.0,0.73,0.63,0.73,0.7,0.7,0.7,5.822000027,1.130776763,1.493149161,0.43772608,0.418271929,0.249924988,0.25927034,1.832909822,Asia,0.0,18
Turkey,2018,77.44,16.44,7.67,24905.38,0.88,0.76,0.83,0.81,0.82,0.81,5.483,1.148,0.0,0.686,0.324,0.106,0.109,0.0,Asia,1.38,41
Turkey,2017,77.161,15.2,8.0,27570.0,0.88,0.73,0.85,0.8,0.82,0.79,5.373,1.183,0.0,0.808,0.195,0.083,0.106,0.0,Asia,1.36,40
Turkey,2016,76.86,15.2,8.0,26050.0,0.87,0.73,0.84,0.8,0.81,0.79,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2.08528,Asia,0.0,41
Turkey,2015,76.532,15.2,7.8,25340.0,0.87,0.72,0.84,0.8,0.81,0.78,5.5,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,0.09967158,1.879277945,Asia,0.0,42
Tunisia,2018,76.51,15.1,7.17,10676.96,0.87,0.7,0.71,0.74,0.76,0.74,4.592,0.9,0.0,0.69,0.271,0.04,0.063,0.0,Africa,0.906,43
Tunisia,2017,76.31,15.1,7.2,10280.0,0.87,0.7,0.7,0.74,0.75,0.74,4.461,0.921,0.0,0.815,0.167,0.059,0.055,0.0,Africa,1.0,42
Tunisia,2016,76.115,15.1,7.1,10070.0,0.86,0.7,0.7,0.74,0.75,0.73,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2.12466,Africa,0.0,41
Tunisia,2015,75.922,14.9,7.0,9890.0,0.86,0.69,0.69,0.73,0.74,0.73,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,0.086723149,1.89025116,Africa,0.0,38
Togo,2018,60.76,12.57,4.95,1592.54,0.63,0.56,0.42,0.51,0.53,0.51,3.999,0.259,0.0,0.253,0.434,0.158,0.101,0.0,Africa,0.474,30
Togo,2017,60.489,12.4,4.8,1520.0,0.62,0.55,0.41,0.51,0.52,0.5,4.085,0.275,0.0,0.41,0.293,0.177,0.085,0.0,Africa,0.572,32
Togo,2016,60.22,12.4,4.8,1470.0,0.62,0.55,0.41,0.51,0.52,0.5,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,1.56726,Africa,0.0,32
Togo,2015,59.927,12.4,4.7,1440.0,0.61,0.54,0.4,0.5,0.51,0.5,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015,1.837229252,Africa,0.0,32
Thailand,2018,76.93,14.65,7.73,16128.55,0.88,0.7,0.77,0.76,0.78,0.76,6.072,1.016,0.0,0.707,0.637,0.364,0.029,0.0,Asia,1.417,36
Thailand,2017,76.683,14.7,7.6,16610.0,0.87,0.7,0.77,0.76,0.78,0.76,6.008,1.05,0.0,0.828,0.557,0.359,0.028,0.0,Asia,1.409,37
Thailand,2016,76.403,14.3,7.6,15800.0,0.87,0.69,0.76,0.75,0.77,0.75,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,2.31945,Asia,0.0,35
Thailand,2015,76.091,13.9,7.6,15010.0,0.86,0.67,0.76,0.75,0.76,0.74,6.423999786,1.127868772,1.425792456,0.647239029,0.580200732,0.57212311,0.031612735,2.039508343,Asia,0.0,38
Tanzania,2018,65.02,8.01,6.01,2805.12,0.69,0.43,0.5,0.53,0.53,0.53,3.303,0.455,0.0,0.381,0.481,0.27,0.097,0.0,Africa,0.991,36
Tanzania,2017,64.479,8.9,5.8,3020.0,0.68,0.46,0.51,0.52,0.54,0.54,3.231,0.476,0.0,0.499,0.417,0.276,0.147,0.0,Africa,0.885,36
Tanzania,2016,63.844,8.9,5.8,2860.0,0.67,0.46,0.51,0.52,0.54,0.53,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,1.38079,Africa,0.0,32
Tanzania,2015,63.111,8.9,5.8,2740.0,0.66,0.46,0.5,0.52,0.53,0.53,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,0.066035107,0.621130466,Africa,0.0,30
Tajikistan,2018,70.88,11.41,10.67,3482.38,0.78,0.68,0.54,0.66,0.66,0.66,5.199,0.474,0.0,0.598,0.292,0.187,0.034,0.0,Asia,1.166,25
Tajikistan,2017,70.647,11.2,10.4,3560.0,0.78,0.66,0.54,0.65,0.65,0.65,5.467,0.493,0.0,0.718,0.389,0.23,0.144,0.0,Asia,1.098,21
Tajikistan,2016,70.397,11.2,10.5,3900.0,0.78,0.67,0.55,0.65,0.66,0.65,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,2.11399,Asia,0.0,25
Tajikistan,2015,70.137,11.2,10.5,3590.0,0.77,0.67,0.54,0.64,0.65,0.65,5.040999889,0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,0.146377146,1.84904933,Asia,0.0,26
Switzerland,2018,83.63,16.21,13.38,59374.73,0.98,0.91,0.96,0.95,0.95,0.95,7.487,1.42,0.0,0.927,0.66,0.256,0.357,0.0,Europe,1.549,85
Switzerland,2017,83.473,16.2,13.4,67890.0,0.98,0.91,0.98,0.94,0.96,0.94,7.48,1.452,0.0,1.052,0.572,0.263,0.343,0.0,Europe,1.526,85
Switzerland,2016,83.31,16.2,13.4,66080.0,0.97,0.91,0.98,0.94,0.96,0.94,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978,2.51738,Europe,0.0,86
Switzerland,2015,83.142,16.2,13.4,65450.0,0.97,0.91,0.98,0.94,0.95,0.94,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,2.276716232,Europe,0.0,86
Sweden,2018,82.65,18.83,12.43,47955.45,0.96,0.97,0.93,0.94,0.96,0.94,7.314,1.355,0.0,0.913,0.659,0.285,0.383,0.0,Europe,1.501,85
Sweden,2017,82.516,17.6,12.4,53490.0,0.96,0.93,0.95,0.94,0.95,0.93,7.343,1.387,0.0,1.009,0.574,0.267,0.373,0.0,Europe,1.487,84
Sweden,2016,82.382,17.6,12.4,50780.0,0.96,0.93,0.94,0.93,0.94,0.93,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844,2.37119,Europe,0.0,88
Sweden,2015,82.251,17.6,12.4,49420.0,0.96,0.93,0.94,0.93,0.94,0.93,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,2.097537994,Europe,0.0,89
Sri Lanka,2018,76.81,13.97,11.05,11610.91,0.87,0.77,0.72,0.78,0.79,0.78,4.471,0.918,0.0,0.672,0.585,0.307,0.05,0.0,Asia,1.314,38
Sri Lanka,2017,76.648,13.9,10.9,12340.0,0.87,0.77,0.73,0.78,0.79,0.77,4.366,0.949,0.0,0.831,0.47,0.244,0.047,0.0,Asia,1.265,38
Sri Lanka,2016,76.482,13.9,10.9,11900.0,0.87,0.77,0.72,0.77,0.78,0.77,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,0.67108,Asia,0.0,36
Sri Lanka,2015,76.316,13.9,10.9,11270.0,0.87,0.77,0.71,0.77,0.78,0.77,4.440000057,1.009850144,1.259976387,0.625130832,0.561213255,0.490863562,0.073653966,0.419389248,Asia,0.0,37
Spain,2018,83.43,17.88,9.82,35041.3,0.98,0.87,0.89,0.89,0.91,0.89,6.31,1.251,0.0,0.965,0.449,0.142,0.074,0.0,Europe,1.538,58
Spain,2017,83.294,17.9,9.8,39570.0,0.97,0.87,0.9,0.89,0.91,0.89,6.354,1.286,0.0,1.062,0.362,0.153,0.079,0.0,Europe,1.484,57
Spain,2016,83.145,17.9,9.8,37370.0,0.97,0.87,0.89,0.89,0.91,0.89,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398,2.12367,Europe,0.0,58
Spain,2015,82.981,17.8,9.7,34900.0,0.97,0.86,0.88,0.88,0.9,0.89,6.402999878,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,0.070914097,1.92775774,Europe,0.0,58
South Africa,2018,63.86,13.67,10.24,11756.3,0.67,0.74,0.72,0.7,0.71,0.7,4.724,0.94,0.0,0.33,0.516,0.103,0.056,0.0,Africa,1.41,43
South Africa,2017,63.538,13.3,10.1,12320.0,0.67,0.72,0.73,0.7,0.71,0.7,4.722,0.96,0.0,0.469,0.389,0.13,0.055,0.0,Africa,1.351,43
South Africa,2016,63.153,13.3,10.1,12240.0,0.66,0.72,0.73,0.7,0.7,0.7,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,1.71956,Africa,0.0,45
South Africa,2015,62.649,13.3,10.1,12240.0,0.66,0.72,0.73,0.7,0.7,0.69,4.828999996,1.054698706,1.384788632,0.18708007,0.479246736,0.13936238,0.072509497,1.510908604,Africa,0.0,44
Slovenia,2018,81.17,17.42,12.27,32143.04,0.94,0.92,0.87,0.9,0.91,0.9,5.948,1.219,0.0,0.856,0.633,0.16,0.051,0.0,Europe,1.506,60
Slovenia,2017,81.016,17.2,12.2,35990.0,0.94,0.91,0.89,0.9,0.91,0.9,6.118,1.258,0.0,0.953,0.564,0.144,0.057,0.0,Europe,1.523,61
Slovenia,2016,80.852,17.2,12.3,33010.0,0.94,0.92,0.88,0.89,0.91,0.89,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,1.61583,Europe,0.0,61
Slovenia,2015,80.673,17.2,12.0,30660.0,0.93,0.91,0.86,0.89,0.9,0.89,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,0.045128979,1.313317299,Europe,0.0,60
Slovakia,2018,77.39,14.53,12.61,30671.87,0.88,0.83,0.86,0.86,0.86,0.86,6.173,1.21,0.0,0.776,0.354,0.118,0.014,0.0,Europe,1.537,50
Slovakia,2017,77.219,15.0,12.5,30410.0,0.88,0.85,0.86,0.85,0.86,0.86,6.198,1.246,0.0,0.881,0.334,0.121,0.014,0.0,Europe,1.504,50
Slovakia,2016,77.034,15.0,12.5,29160.0,0.88,0.85,0.86,0.85,0.86,0.85,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431,2.24639,Europe,0.0,51
Slovakia,2015,76.827,15.0,12.5,28950.0,0.87,0.85,0.86,0.85,0.86,0.85,6.09800005,1.325393558,1.505059242,0.712732911,0.295817465,0.136544481,0.024210852,2.097776651,Europe,0.0,51
Singapore,2018,83.46,16.33,11.5,83792.67,0.98,0.86,1.02,0.93,0.95,0.93,6.343,1.529,0.0,1.008,0.631,0.261,0.457,0.0,Asia,1.451,85
Singapore,2017,83.279,16.2,11.5,87440.0,0.97,0.86,1.02,0.93,0.95,0.93,6.262,1.572,0.0,1.141,0.556,0.271,0.453,0.0,Asia,1.463,84
Singapore,2016,83.083,16.1,11.5,83020.0,0.97,0.86,1.02,0.93,0.94,0.93,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,1.88501,Asia,0.0,84
Singapore,2015,82.877,16.1,11.5,81040.0,0.97,0.86,1.01,0.93,0.94,0.93,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,0.464307785,1.216362,Asia,0.0,85
Sierra Leone,2018,54.31,10.18,3.6,1381.3,0.53,0.44,0.4,0.44,0.45,0.44,4.571,0.256,0.0,0.0,0.355,0.238,0.053,0.0,Africa,0.813,30
Sierra Leone,2017,53.895,9.8,3.5,1590.0,0.52,0.42,0.42,0.43,0.45,0.42,4.374,0.268,0.0,0.242,0.309,0.252,0.045,0.0,Africa,0.841,30
Sierra Leone,2016,53.444,9.7,3.4,1420.0,0.51,0.42,0.4,0.42,0.44,0.41,4.507,0.33024,0.95571,0.0,0.4084,0.21488,0.08786,2.51009,Africa,0.0,30
Sierra Leone,2015,52.941,9.5,3.4,1570.0,0.51,0.41,0.42,0.42,0.44,0.41,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176,2.668459892,Africa,0.0,29
Serbia,2018,75.85,14.77,11.18,15217.7,0.86,0.8,0.76,0.8,0.81,0.8,5.398,0.975,0.0,0.685,0.288,0.134,0.043,0.0,Europe,1.369,39
Serbia,2017,75.684,14.6,11.1,15510.0,0.86,0.8,0.76,0.79,0.8,0.79,5.603,1.004,0.0,0.854,0.282,0.137,0.039,0.0,Europe,1.383,41
Serbia,2016,75.505,14.6,11.1,14960.0,0.85,0.8,0.76,0.79,0.8,0.79,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,2.025,Europe,0.0,42
Serbia,2015,75.309,14.4,11.0,14230.0,0.85,0.79,0.75,0.79,0.79,0.78,5.394999981,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781,1.947084427,Europe,0.0,40
Senegal,2018,67.67,8.97,3.07,3255.99,0.73,0.38,0.53,0.51,0.53,0.51,4.631,0.429,0.0,0.433,0.406,0.138,0.082,0.0,Africa,1.117,45
Senegal,2017,67.38,9.7,3.0,3140.0,0.73,0.41,0.52,0.51,0.54,0.51,4.681,0.45,0.0,0.571,0.292,0.153,0.072,0.0,Africa,1.134,45
Senegal,2016,67.078,9.5,2.9,3000.0,0.72,0.4,0.51,0.51,0.53,0.5,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,1.44395,Africa,0.0,45
Senegal,2015,66.747,9.3,2.9,2910.0,0.72,0.39,0.51,0.5,0.52,0.49,4.534999847,0.479309022,1.179691911,0.409362853,0.377922267,0.183468893,0.115460448,1.789646149,Africa,0.0,44
Saudi Arabia,2018,75.0,16.98,9.67,49338.41,0.85,0.83,0.94,0.86,0.87,0.86,6.371,1.379,0.0,0.633,0.509,0.098,0.127,0.0,Asia,1.331,49
Saudi Arabia,2017,74.874,16.9,9.5,48040.0,0.84,0.83,0.93,0.86,0.87,0.85,6.375,1.403,0.0,0.795,0.439,0.08,0.132,0.0,Asia,1.357,49
Saudi Arabia,2016,74.761,16.9,9.5,46110.0,0.84,0.83,0.93,0.86,0.86,0.85,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524,2.43872,Asia,0.0,46
Saudi Arabia,2015,74.651,16.9,9.5,49450.0,0.84,0.83,0.94,0.86,0.87,0.85,6.343999863,1.530623555,1.286677599,0.59014833,0.449750572,0.147616014,0.273432255,2.065429688,Asia,0.0,52
Rwanda,2018,68.7,11.17,4.42,1958.61,0.75,0.49,0.45,0.54,0.55,0.54,3.408,0.332,0.0,0.4,0.636,0.2,0.444,0.0,Africa,0.896,56
Rwanda,2017,68.341,11.2,4.1,1910.0,0.74,0.49,0.45,0.53,0.54,0.52,3.334,0.359,0.0,0.614,0.555,0.217,0.411,0.0,Africa,0.711,55
Rwanda,2016,67.93,11.2,4.1,1790.0,0.74,0.49,0.44,0.52,0.54,0.52,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191,0.67042,Africa,0.0,54
Rwanda,2015,67.45,10.8,4.0,1710.0,0.73,0.47,0.43,0.51,0.53,0.51,3.470999956,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,0.540061235,Africa,0.0,54
Russia,2018,72.39,15.54,12.02,25036.02,0.81,0.85,0.83,0.82,0.83,0.82,5.81,1.151,0.0,0.599,0.399,0.065,0.025,0.0,Europe,1.479,28
Russia,2017,72.139,15.5,12.0,25380.0,0.8,0.85,0.84,0.82,0.83,0.82,5.648,1.183,0.0,0.726,0.334,0.082,0.031,0.0,Europe,1.452,29
Russia,2016,71.835,15.5,12.0,23570.0,0.8,0.85,0.83,0.82,0.82,0.82,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,2.27394,Europe,0.0,29
Russia,2015,71.464,15.4,12.0,23420.0,0.79,0.85,0.82,0.81,0.82,0.81,5.962999821,1.281778097,1.469282389,0.547349334,0.373783112,0.052263822,0.032962881,2.205607414,Europe,0.0,29
Romania,2018,75.92,14.26,10.98,23905.77,0.86,0.78,0.83,0.82,0.82,0.82,5.945,1.116,0.0,0.726,0.528,0.088,0.001,0.0,Europe,1.219,47
Romania,2017,75.79,14.3,11.0,26620.0,0.86,0.78,0.84,0.81,0.83,0.81,6.07,1.162,0.0,0.825,0.462,0.083,0.005,0.0,Europe,1.232,48
Romania,2016,75.644,14.3,11.0,23680.0,0.86,0.78,0.83,0.81,0.82,0.81,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,1.93129,Europe,0.0,48
Romania,2015,75.476,14.5,10.9,21130.0,0.85,0.79,0.81,0.81,0.82,0.81,5.824999809,1.217683911,1.15009129,0.685158312,0.457003742,0.133519918,0.004387901,2.176831484,Europe,0.0,46
Portugal,2018,81.86,16.3,9.19,27935.38,0.95,0.8,0.85,0.85,0.86,0.85,5.41,1.188,0.0,0.884,0.562,0.055,0.017,0.0,Europe,1.429,64
Portugal,2017,81.655,16.3,9.2,32310.0,0.95,0.8,0.87,0.85,0.87,0.85,5.693,1.221,0.0,0.999,0.508,0.047,0.025,0.0,Europe,1.431,63
Portugal,2016,81.444,16.3,9.2,30840.0,0.95,0.8,0.87,0.85,0.87,0.85,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,1.26462,Europe,0.0,62
Portugal,2015,81.224,16.4,9.1,28870.0,0.94,0.8,0.86,0.84,0.86,0.84,5.195000172,1.315175295,1.367043018,0.795843542,0.4984653,0.095102713,0.015869452,1.107682705,Europe,0.0,64
Poland,2018,78.54,16.43,12.29,27625.8,0.9,0.89,0.85,0.87,0.88,0.87,6.123,1.176,0.0,0.781,0.546,0.108,0.064,0.0,Europe,1.448,60
Poland,2017,78.338,16.4,12.3,28900.0,0.9,0.89,0.86,0.87,0.88,0.87,6.182,1.206,0.0,0.884,0.483,0.117,0.05,0.0,Europe,1.438,60
Poland,2016,78.11,16.4,12.2,27170.0,0.89,0.89,0.85,0.86,0.88,0.86,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,1.86565,Europe,0.0,62
Poland,2015,77.859,16.1,12.1,25880.0,0.89,0.87,0.84,0.86,0.87,0.86,5.97300005,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,0.059307806,1.797722816,Europe,0.0,63
Philippines,2018,71.1,12.72,9.39,9539.7,0.79,0.69,0.69,0.71,0.72,0.71,5.524,0.775,0.0,0.513,0.643,0.12,0.105,0.0,Asia,1.312,36
Philippines,2017,70.952,12.6,9.3,9320.0,0.78,0.68,0.68,0.71,0.71,0.7,5.631,0.807,0.0,0.657,0.558,0.117,0.107,0.0,Asia,1.293,34
Philippines,2016,70.802,12.6,9.3,8870.0,0.78,0.68,0.68,0.7,0.71,0.7,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,1.7536,Asia,0.0,35
Philippines,2015,70.644,12.6,9.3,8310.0,0.78,0.68,0.67,0.7,0.71,0.69,5.429999828,0.857699215,1.253917575,0.468009055,0.585214674,0.193513423,0.099331893,1.972604752,Asia,0.0,35
Peru,2018,76.52,13.85,9.22,12322.66,0.87,0.72,0.73,0.76,0.77,0.76,5.663,0.934,0.0,0.674,0.53,0.092,0.034,0.0,South America,1.249,35
Peru,2017,76.286,13.8,9.2,11930.0,0.87,0.72,0.72,0.76,0.76,0.75,5.697,0.96,0.0,0.854,0.455,0.083,0.027,0.0,South America,1.274,37
Peru,2016,76.044,13.8,9.2,11510.0,0.86,0.72,0.72,0.75,0.76,0.75,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2.5945,South America,0.0,35
Peru,2015,75.792,13.8,9.1,11180.0,0.86,0.71,0.71,0.75,0.76,0.75,5.715000153,1.035225272,1.218770385,0.630166113,0.450002879,0.126819715,0.047049087,2.20726943,South America,0.0,36
Paraguay,2018,74.13,12.69,8.45,11719.96,0.83,0.66,0.72,0.72,0.73,0.72,5.681,0.835,0.0,0.615,0.541,0.162,0.074,0.0,South America,1.522,29
Paraguay,2017,73.992,12.7,8.4,12210.0,0.83,0.66,0.73,0.72,0.73,0.7,5.743,0.855,0.0,0.777,0.514,0.184,0.08,0.0,South America,1.475,29
Paraguay,2016,73.836,12.7,8.4,11540.0,0.83,0.66,0.72,0.72,0.73,0.7,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,2.18896,South America,0.0,30
Paraguay,2015,73.662,12.7,8.5,11040.0,0.83,0.66,0.71,0.72,0.73,0.7,5.493000031,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349,South America,0.0,27
Panama,2018,78.33,12.88,10.17,20454.87,0.9,0.71,0.8,0.8,0.8,0.8,6.43,1.112,0.0,0.759,0.597,0.125,0.063,0.0,South America,1.438,37
Panama,2017,78.149,12.7,10.2,27640.0,0.89,0.71,0.85,0.79,0.81,0.79,6.321,1.149,0.0,0.91,0.516,0.109,0.054,0.0,South America,1.442,37
Panama,2016,77.964,12.7,10.0,25080.0,0.89,0.7,0.83,0.79,0.81,0.79,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927,2.84848,South America,0.0,38
Panama,2015,77.776,12.7,9.9,22810.0,0.89,0.7,0.82,0.78,0.8,0.78,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924,2.307199955,South America,0.0,39
Pakistan,2018,67.11,8.46,5.16,5190.08,0.72,0.43,0.6,0.56,0.57,0.56,5.472,0.652,0.0,0.424,0.334,0.216,0.113,0.0,Asia,0.81,33
Pakistan,2017,66.947,8.6,5.2,4820.0,0.72,0.43,0.59,0.56,0.57,0.56,5.653,0.677,0.0,0.535,0.313,0.22,0.098,0.0,Asia,0.886,32
Pakistan,2016,66.77,8.6,5.2,4680.0,0.72,0.43,0.58,0.56,0.56,0.56,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,3.10709,Asia,0.0,32
Pakistan,2015,66.577,8.2,5.1,4640.0,0.72,0.42,0.58,0.55,0.56,0.55,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,0.124348067,2.79248929,Asia,0.0,30
Norway,2018,82.27,18.06,12.57,68058.62,0.96,0.95,0.99,0.95,0.96,0.95,7.594,1.456,0.0,0.861,0.686,0.286,0.34,0.0,Europe,1.582,84
Norway,2017,82.146,17.9,12.6,65730.0,0.96,0.95,0.98,0.95,0.96,0.95,7.554,1.488,0.0,1.028,0.603,0.271,0.341,0.0,Europe,1.582,85
Norway,2016,82.029,17.9,12.6,61840.0,0.95,0.95,0.97,0.95,0.96,0.95,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2.46531,Europe,0.0,85
Norway,2015,81.912,17.7,12.5,63030.0,0.95,0.94,0.97,0.95,0.95,0.95,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,2.277026653,Europe,0.0,88
Nigeria,2018,54.33,9.75,6.46,5085.54,0.53,0.5,0.59,0.53,0.54,0.53,5.155,0.689,0.0,0.048,0.462,0.201,0.032,0.0,Africa,1.172,27
Nigeria,2017,53.95,10.0,6.2,5030.0,0.52,0.51,0.59,0.53,0.54,0.53,5.265,0.696,0.0,0.245,0.426,0.215,0.041,0.0,Africa,1.111,27
Nigeria,2016,53.541,10.0,6.2,5120.0,0.52,0.51,0.59,0.53,0.54,0.53,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,2.89319,Africa,0.0,28
Nigeria,2015,53.112,10.0,6.0,5280.0,0.51,0.5,0.6,0.53,0.53,0.53,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,0.026121566,2.365390539,Africa,0.0,26
Niger,2018,62.02,6.47,2.03,912.04,0.65,0.27,0.33,0.38,0.39,0.38,4.166,0.131,0.0,0.221,0.39,0.175,0.099,0.0,Africa,0.867,34
Niger,2017,61.599,5.4,2.0,830.0,0.64,0.24,0.32,0.37,0.36,0.35,4.628,0.138,0.0,0.366,0.318,0.188,0.102,0.0,Africa,0.774,33
Niger,2016,61.137,5.4,1.9,820.0,0.63,0.23,0.32,0.37,0.36,0.35,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,1.87877,Africa,0.0,35
Niger,2015,60.631,5.3,1.8,840.0,0.63,0.23,0.32,0.36,0.36,0.35,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946,1.873983383,Africa,0.0,34
Nicaragua,2018,74.28,12.21,6.8,4789.84,0.84,0.6,0.58,0.65,0.66,0.65,6.141,0.668,0.0,0.7,0.527,0.208,0.128,0.0,South America,1.319,25
Nicaragua,2017,74.068,12.1,6.7,5850.0,0.83,0.59,0.61,0.65,0.67,0.66,6.105,0.694,0.0,0.835,0.435,0.2,0.127,0.0,South America,1.325,26
Nicaragua,2016,73.86,12.1,6.7,5540.0,0.83,0.59,0.61,0.65,0.67,0.66,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,2.32407,South America,0.0,26
Nicaragua,2015,73.649,12.1,6.5,5150.0,0.83,0.58,0.6,0.64,0.66,0.65,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.301674217,0.130687982,2.513930559,South America,0.0,27
